,Links,Title,Details,Price,Rating
20,https://www.airbnb.co.in/rooms/43237277?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=5e8f5198-4c9c-4490-b3c3-d69aef4dfc21,Waikiki Studio Kitchenette with 2 Twin Beds,"2 guests, 1 bedroom, 3 beds, 1 private bathroom, Kitchen, Wifi, Pool, Air conditioning","₹11,727",4.60
21,https://www.airbnb.co.in/rooms/51962056?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=5e8f5198-4c9c-4490-b3c3-d69aef4dfc21,✨ Standard Room with 2 Double Beds at  Waikiki beach,"4 guests, 1 bedroom, 2 beds, 1 bathroom, Wifi, Pool, Air conditioning","₹14,686",4.62
22,https://www.airbnb.co.in/rooms/37234021?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=5e8f5198-4c9c-4490-b3c3-d69aef4dfc21,"1 Double Bed w/Waikiki View, Hotel Renew","2 guests, Studio, 1 bed, 1 private bathroom, Wifi, Air conditioning","₹12,488",4.40
23,https://www.airbnb.co.in/rooms/21999105?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=5e8f5198-4c9c-4490-b3c3-d69aef4dfc21,Great house one block from a private beach,"2 guests, 1 bedroom, 1 bed, 1 shared bathroom, Kitchen, Wifi, Air conditioning","₹5,864",4.38
24,https://www.airbnb.co.in/rooms/34205128?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=5e8f5198-4c9c-4490-b3c3-d69aef4dfc21,"TOP Floor, near Ala Moana, 1 King","2 guests, 1 bedroom, 1 bed, 1 private bathroom, Wifi, Pool, Air conditioning","₹14,195",4.77
25,https://www.airbnb.co.in/rooms/47181656?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=5e8f5198-4c9c-4490-b3c3-d69aef4dfc21,L7*FREE PARKING*Luana*Hotel*GREAT*VIEWS*,"5 guests, 1 bedroom, 3 beds, 1 bathroom, Kitchen, Wifi, Pool, Air conditioning","₹21,909",4.86
26,https://www.airbnb.co.in/rooms/27061741?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=5e8f5198-4c9c-4490-b3c3-d69aef4dfc21,Modern CityScape Ilikai Hotel,"3 guests, 1 bedroom, 2 beds, 1 bathroom, Kitchen, Wifi, Pool, Air conditioning","₹18,265",4.83
27,https://www.airbnb.co.in/rooms/9497844?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=5e8f5198-4c9c-4490-b3c3-d69aef4dfc21,Hawaii Basecamp Tropical Paradise ❤️,"2 guests, Studio, 2 beds, 1 bathroom, Kitchen, Wifi, Pool, Air conditioning","₹15,017",4.81
28,https://www.airbnb.co.in/rooms/33911271?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=5e8f5198-4c9c-4490-b3c3-d69aef4dfc21,"B. New! Lush Valley, Ocean & Mtn Views in Honolulu","6 guests, 2 bedrooms, 4 beds, 1 bathroom, Kitchen, Wifi, Air conditioning","₹20,303",4.42
29,https://www.airbnb.co.in/rooms/17931021?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=5e8f5198-4c9c-4490-b3c3-d69aef4dfc21,Superhost Listing* Ilikai Marina Elegant Waikiki,"2 guests, 1 bedroom, 1 bed, 1 bathroom, Kitchen, Wifi, Air conditioning","₹14,438",4.69
30,https://www.airbnb.co.in/rooms/53120899?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=5e8f5198-4c9c-4490-b3c3-d69aef4dfc21,Luxe Hawaii #VanLife experience in our MiniCamper,"2 guests, 1 bedroom, 1 bed, Toilet with sink, Kitchen, Air conditioning","₹10,563",4.80
31,https://www.airbnb.co.in/rooms/39221593?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=5e8f5198-4c9c-4490-b3c3-d69aef4dfc21,"White Sands Hotel, Standard View 2 Doubles","2 guests, Studio, 2 beds, 1 private bathroom, Wifi, Pool, Air conditioning","₹15,725",4.40
32,https://www.airbnb.co.in/rooms/36903681?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=1f511b03-7f82-4885-9724-a32aca6160ed,The Getaway Van,"2 guests, 1 bedroom, 1 bed, 0 bathrooms","₹14,686",4.73
33,https://www.airbnb.co.in/rooms/32338901?check_in=2022-04-19&check_out=2022-04-23&previous_page_section_name=1000&federated_search_id=1f511b03-7f82-4885-9724-a32aca6160ed,Ilikai #1717 City-View Partially Renovated One-Bedroom Unit,"2 guests, 1 bedroom, 1 bed, 1 bathroom, Kitchen, Wifi, Pool, Air conditioning","₹19,938",4.83
